55,Alonzo Mourning,1999-00,29,MIA,NBA,79,78,2748,25.8,.596,.551,9.5,21.6,15.9,8.7,0.8,7.8,13.1,28.1,112,96,7.3,5.6,12.9,.226,.551,.000,.711
56,Kareem Abdul-Jabbar *,1974-75,27,MIL,NBA,65,,2747,26.4,.550,.513,7.6,26.4,17.3,16.7,1.1,4.0,,,,92,8.1,4.8,12.9,.225,.513,,.763
57,Neil Johnston *,1957-58,28,PHW,NBA,71,,2408,22.5,.518,.429,,,,,,,,,,,8.2,3.1,11.3,.224,.429,,.819
58,Shaquille O'Neal,1997-98,25,LAL,NBA,60,57,2175,28.8,.587,.584,11.1,24.0,17.7,13.5,0.9,4.6,10.8,32.9,113,101,6.7,3.4,10.2,.224,.584,,.527
59,Joakim Noah,2011-12,26,CHI,NBA,64,64,1945,19.6,.561,.508,14.1,21.8,18.0,12.7,1.1,3.4,13.7,15.8,120,96,4.9,4.2,9.0,.223,.508,.000,.748
60,Clifford Ray,1971-72,23,CHI,NBA,82,,1872,17.3,.534,.499,,,22.1,17.5,,,,,,,2.3,6.3,8.7,.222,.499,,.615

61,Tyson Chandler,2011-12,29,NYK,NBA,62,62,2061,18.7,.708,.679,11.8,22.7,17.2,4.3,1.4,3.4,17.1,13.0,130,99,5.8,3.6,9.5,.220,.679,.000,.689
62,Kareem Abdul-Jabbar *,1978-79,31,LAL,NBA,80,,3157,25.5,.612,.577,7.6,26.7,17.6,18.9,1.1,5.0,15.3,23.3,115,98,8.8,5.6,14.4,.219,.577,,.736
63,Wilt Chamberlain *,1971-72,35,LAL,NBA,82,,3469,18.5,.610,.649,,,20.1,11.2,,,,,,,7.9,7.9,15.8,.219,.649,,.422
64,Wilt Chamberlain *,1964-65,28,TOT,NBA,73,,3301,28.6,.513,.510,,,,13.8,,,,,,,9.6,5.5,15.1,.219,.510,,.464
65,Tyson Chandler,2010-11,28,DAL,NBA,74,74,2059,18.4,.697,.654,12.2,26.6,19.7,2.4,0.9,3.0,14.1,14.2,131,102,5.8,3.5,9.4,.218,.654,,.732
66,Bill Russell *,1961-62,27,BOS,NBA,76,,3433,19.4,.489,.457,,,,,,,,,,,3.9,11.6,15.5,.217,.457,,.595
67,Alonzo Mourning,1998-99,28,MIA,NBA,46,46,1753,24.6,.563,.511,12.3,22.0,17.5,8.7,1.1,7.7,14.5,27.1,107,93,4.0,3.9,7.9,.216,.511,.000,.652
68,Brad Daugherty,1991-92,26,CLE,NBA,73,73,2643,23.0,.629,.570,8.4,23.1,16.0,15.3,1.2,1.7,12.9,23.6,122,106,8.2,3.5,11.7,.213,.570,.000,.777
69,Shaquille O'Neal,2004-05,32,MIA,NBA,73,73,2492,27.0,.583,.601,12.4,22.8,17.8,15.7,0.8,5.0,12.4,30.5,111,100,6.4,4.6,11.0,.211,.601,,.461
70,Robert Parish *,1982-83,29,BOS,NBA,78,76,2459,23.0,.582,.550,11.4,24.6,18.1,8.4,1.5,3.3,12.5,23.6,114,98,6.2,4.6,10.8,.211,.550,.000,.698
71,David Robinson *,2001-02,36,SAS,NBA,78,78,2303,20.3,.562,.507,9.9,22.0,16.2,7.0,2.0,4.3,10.9,19.2,114,95,5.0,5.1,10.1,.211,.507,,.681
72,Bill Russell *,1959-60,25,BOS,NBA,74,,3146,20.1,.496,.467,,,,,,,,,,,4.9,8.9,13.8,.211,.467,,.612
73,Yao Ming,2004-05,24,HOU,NBA,80,80,2447,23.2,.614,.552,10.2,21.4,15.9,5.0,0.8,5.1,14.1,26.8,113,99,6.0,4.7,10.7,.210,.552,,.783
74,Hakeem Olajuwon *,1993-94,31,HOU,NBA,80,80,3277,25.3,.565,.530,8.2,23.3,16.2,16.4,2.0,5.7,12.3,29.8,109,95,6.4,7.9,14.3,.210,.528,.421,.716
75,Chuck Share,1955-56,28,STL,NBA,72,,1975,20.6,.513,.430,,,,,,,,,,,5.4,3.3,8.6,.210,.430,,.695
76,Bob Lanier *,1977-78,29,DET,NBA,63,,2311,24.8,.580,.537,9.1,23.1,16.2,14.9,1.6,2.1,14.5,25.7,112,99,7.0,3.1,10.1,.209,.537,,.772
77,Artis Gilmore *,1981-82,32,CHI,NBA,82,82,2796,22.4,.702,.653,9.5,23.7,16.9,7.5,0.8,4.3,17.4,19.6,124,104,8.3,3.8,12.1,.208,.652,1.000,.768
78,Artis Gilmore *,1980-81,31,CHI,NBA,82,,2832,21.7,.699,.670,9.2,23.5,16.7,8.9,0.8,4.0,18.4,18.5,123,103,8.4,3.9,12.3,.208,.670,,.705
79,Tree Rollins,1979-80,24,ATL,NBA,82,,2123,18.9,.598,.558,14.2,25.0,19.6,5.2,1.2,6.8,13.9,13.7,121,96,4.5,4.7,9.2,.208,.558,,.714
80,Bill Russell *,1958-59,24,BOS,NBA,70,,2979,20.7,.493,.457,,,,,,,,,,,4.7,8.2,12.9,.208,.457,,.598

81,Arvydas Sabonis *,1998-99,34,POR,NBA,50,48,1349,20.4,.546,.493,7.8,25.2,16.8,16.2,1.4,3.5,13.3,21.7,110,94,3.0,2.9,5.8,.207,.485,.292,.771
82,Dikembe Mutombo,1998-99,32,ATL,NBA,50,50,1829,18.8,.584,.512,12.4,26.5,19.5,5.7,0.5,6.0,16.9,14.3,115,92,3.7,4.2,7.9,.206,.512,,.684
83,Bill Russell *,1957-58,23,BOS,NBA,69,,2640,22.8,.465,.442,,,,,,,,,,,3.7,7.7,11.3,.206,.442,,.519
84,Kareem Abdul-Jabbar *,1982-83,35,LAL,NBA,79,79,2554,23.6,.619,.588,7.6,17.6,12.8,10.8,1.1,3.5,12.6,24.6,118,104,8.0,2.9,10.9,.205,.588,.000,.749
85,Bob Lanier *,1975-76,27,DET,NBA,64,,2363,22.7,.579,.532,9.3,23.5,16.3,13.9,1.5,1.9,,,,97,7.3,2.8,10.1,.205,.532,,.768
86,Kareem Abdul-Jabbar *,1984-85,37,LAL,NBA,79,79,2630,22.9,.628,.599,7.7,18.2,13.5,13.1,1.1,3.3,12.5,24.3,120,105,7.6,3.6,11.2,.204,.599,.000,.732
87,Shawn Bradley,2002-03,30,DAL,NBA,81,39,1731,18.3,.601,.536,9.6,20.7,15.1,4.6,1.9,7.3,12.9,13.6,121,96,3.9,3.5,7.4,.204,.536,.000,.806
88,Walt Bellamy *,1963-64,24,BAL,NBA,80,,3394,23.3,.555,.513,,,,,,,,,,,11.4,2.9,14.4,.203,.513,,.651
89,Artis Gilmore *,1976-77,27,CHI,NBA,82,,2877,21.6,.566,.522,11.2,27.7,19.4,11.1,0.7,3.9,,,,93,6.7,5.5,12.2,.203,.522,,.660
90,Bob Lanier *,1976-77,28,DET,NBA,64,,2446,23.0,.573,.534,8.5,23.1,15.8,12.9,1.3,2.7,,,,99,7.5,2.8,10.3,.203,.534,,.818
91,Brad Miller,2002-03,26,IND,NBA,73,72,2270,19.3,.579,.497,9.4,20.2,14.9,14.5,1.5,1.4,12.5,18.7,118,100,6.1,3.4,9.6,.202,.493,.313,.818
92,Yao Ming,2003-04,23,HOU,NBA,82,82,2692,21.9,.586,.522,9.1,22.4,16.1,9.3,0.4,4.5,14.3,25.3,110,97,6.5,4.8,11.4,.202,.522,.000,.809
93,Hakeem Olajuwon *,1990-91,28,HOU,NBA,56,50,2062,24.3,.549,.508,11.4,28.3,19.9,10.2,2.9,6.4,13.9,25.0,109,93,2.9,5.7,8.6,.201,.508,.000,.769
94,Arvydas Sabonis *,1997-98,33,POR,NBA,73,73,2333,20.9,.581,.511,7.7,27.9,18.2,16.9,1.5,2.5,15.9,23.2,112,97,5.1,4.6,9.7,.200,.493,.261,.798
95,Walt Bellamy *,1962-63,23,CHZ,NBA,80,,3306,24.9,.571,.527,,,,,,,,,,,12.6,1.1,13.7,.199,.527,,.674
96,Bob Lanier *,1974-75,26,DET,NBA,76,,2987,24.4,.559,.510,8.4,25.1,16.8,19.9,1.2,3.1,,,,96,8.6,3.8,12.4,.199,.510,,.802
97,Walt Bellamy *,1967-68,28,NYK,NBA,82,,2695,19.1,.583,.541,,,,8.3,,,,,,,7.9,3.3,11.1,.198,.541,,.662
98,Brad Miller,2004-05,28,SAC,NBA,56,56,2089,20.7,.596,.528,7.4,20.4,13.9,16.1,1.7,2.3,10.0,17.4,125,105,6.3,2.3,8.6,.198,.524,.263,.812
99,Robert Parish *,1990-91,37,BOS,NBA,81,81,2441,20.6,.637,.598,13.4,24.4,19.3,3.7,1.3,2.4,13.9,19.0,122,103,6.1,3.9,10.0,.198,.598,.000,.767
100,Kareem Abdul-Jabbar *,1985-86,38,LAL,NBA,79,79,2629,22.7,.603,.564,6.0,14.2,10.3,15.7,1.2,2.7,11.7,26.6,118,106,7.6,3.2,10.8,.197,.564,.000,.765
